timestamp,setup_idx,setup_name,scenario,cup_state,driptray_state,power_label,power_mW,sub,sub_layout,window_s,total_sweeps,cup1_ant1_reads,cup1_ant1_avg_rssi,cup1_ant2_reads,cup1_ant2_avg_rssi,cup2_ant1_reads,cup2_ant1_avg_rssi,cup2_ant2_reads,cup2_ant2_avg_rssi,misreads,overlaps,interrupted,verdict,cup1_epc,cup2_epc,notes
2026-05-20T08:09:58,2,Antennas at an Angle,I,Full,Full,High,316,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,79,68,-59.46,1,-64.1,2,-65.5,28,-68.32,3,2,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,basic test where mugs were slide in one after the other
2026-05-20T08:11:06,2,Antennas at an Angle,I,Full,Full,High,316,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-59.06,0,,0,,77,-67.53,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,cups were already present on the drip trays before starting the test
2026-05-20T08:12:41,2,Antennas at an Angle,C,Full,Full,Low,30,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,no visible scans were seen on low power
2026-05-20T08:13:29,2,Antennas at an Angle,C,Full,Full,Low,30,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,no visible scans were seen
2026-05-20T08:14:06,2,Antennas at an Angle,C,Full,Full,Low,30,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,no visible scans were seen
2026-05-20T08:15:28,2,Antennas at an Angle,F,Full,Full,Medium,170,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,79,79,-63.33,0,,0,,9,-63.86,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,the cup 2 was fidigited while in the cavity
2026-05-20T08:16:29,2,Antennas at an Angle,F,Full,Full,Medium,170,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,79,69,-61.57,0,,1,-63.8,23,-64.37,1,1,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,again cup 2 was fidigited after sliding in the cups one by one
2026-05-20T08:17:29,2,Antennas at an Angle,I,Full,Full,High,316,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-59.84,0,,0,,78,-64.88,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,simple basic test
2026-05-20T08:19:01,2,Antennas at an Angle,I,Full,Full,High,316,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-59.81,0,,0,,78,-64.73,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,simple basic test
2026-05-20T08:19:50,2,Antennas at an Angle,I,Full,Full,High,316,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,79,71,-58.68,1,-67.9,3,-66.2,31,-66.98,4,2,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,cups were entered one by one after the test was started
2026-05-20T08:21:03,2,Antennas at an Angle,I,Full,Full,High,316,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,78,60,-59.67,1,-60.6,1,-69.9,69,-66.48,2,1,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,The cups were entered one by one the cup2 first and then cup1
2026-05-20T08:26:02,2,Antennas at an Angle,I,Full,Full,High,316,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-59.37,0,,0,,78,-63.35,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T08:28:52,2,Antennas at an Angle,A,Full,Empty,Low,30,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,no scans at low power when the mugs are full with beer
2026-05-20T08:30:17,2,Antennas at an Angle,A,Full,Empty,Low,30,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,conformation test trying to verify it isnt a non alingment of antenna issue
2026-05-20T08:31:13,2,Antennas at an Angle,A,Full,Empty,Low,30,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,conformation test on low power
2026-05-20T08:31:48,2,Antennas at an Angle,D,Full,Empty,Medium,170,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-61.4,0,,0,,65,-65.34,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T08:32:24,2,Antennas at an Angle,D,Full,Empty,Medium,170,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-60.85,0,,0,,55,-66.03,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,basic test
2026-05-20T08:33:08,2,Antennas at an Angle,D,Full,Empty,Medium,170,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,79,71,-60.89,0,,0,,38,-65.66,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,cups were slid in one after the other
2026-05-20T08:33:45,2,Antennas at an Angle,D,Full,Empty,Medium,170,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-60.17,0,,0,,48,-65.95,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,conformation test
2026-05-20T08:34:29,2,Antennas at an Angle,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,77,57,-57.7,0,,20,-68.53,77,-63.91,20,20,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T08:38:06,2,Antennas at an Angle,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,77,39,-58.88,1,-66.8,30,-64.6,54,-62.27,31,30,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,this is a fresh observation
2026-05-20T08:39:33,2,Antennas at an Angle,D,Full,Empty,Medium,170,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-61.91,0,,0,,77,-63.92,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,works slightly accurate on medium power
2026-05-20T08:43:00,2,Antennas at an Angle,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-52.57,0,,0,,54,-67.86,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,there was a metal fin in the middle
2026-05-20T08:43:40,2,Antennas at an Angle,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-52.54,0,,0,,75,-68.22,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,there was a metal fin in the middle
2026-05-20T08:44:34,2,Antennas at an Angle,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,76,43,-60.61,0,,33,-68.2,76,-64.08,33,33,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,just took the fin out
2026-05-20T08:45:37,2,Antennas at an Angle,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,77,60,-56.49,0,,17,-65.99,75,-64.88,17,17,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,took the fin out in the middle of the test
2026-05-20T08:46:55,2,Antennas at an Angle,D,Full,Empty,Medium,170,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-62.66,0,,0,,78,-63.06,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,seems to be workig okay on medium power
2026-05-20T08:49:41,2,Antennas at an Angle,A,Full,Empty,Low,30,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,just a trial test to see if it worked on low power
2026-05-20T08:50:42,2,Antennas at an Angle,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,77,63,-55.35,0,,14,-66.03,76,-64.22,14,14,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,just added a fin in the middle of the test
2026-05-20T08:54:52,2,Antennas at an Angle,B,Empty,Full,Low,30,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,no scans on lowest power
2026-05-20T08:55:27,2,Antennas at an Angle,E,Empty,Full,Medium,170,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,no scans on medium power either
2026-05-20T08:56:09,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-64.18,0,,0,,57,-63.75,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,proper scans on full power
2026-05-20T08:56:41,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-63.18,0,,0,,78,-64.44,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T08:57:06,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-63.22,0,,0,,78,-64.39,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T08:57:35,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,71,-64.75,0,,0,,53,-64.53,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T08:58:31,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-64.58,0,,0,,78,-63.41,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T08:59:08,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-64.42,0,,0,,78,-63.53,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T09:01:14,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-64.27,0,,0,,78,-62.64,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T09:02:38,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-64.14,0,,0,,78,-62.64,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T09:09:34,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-59.11,0,,0,,78,-60.75,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T09:15:34,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-59.41,0,,0,,78,-60.35,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T10:43:56,1,Metal Casings,A,Full,Empty,Low,30,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T10:44:46,1,Metal Casings,A,Full,Empty,Low,30,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T10:45:54,1,Metal Casings,A,Full,Empty,Low,30,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,(AA) there were no scans at all
2026-05-20T10:46:50,1,Metal Casings,D,Full,Empty,Medium,170,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,4,-66.22,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,the mugs were fidigited inside while the test was running
2026-05-20T10:47:38,1,Metal Casings,D,Full,Empty,Medium,170,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,2,-67.0,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,again the mugs were fidigited while the test was running
2026-05-20T10:48:51,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,77,66,-65.11,0,,0,,44,-66.28,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,the mugs were fidigited
2026-05-20T10:49:36,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,71,-62.62,0,,0,,51,-67.25,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,the mugs were slid in one after the other
2026-05-20T10:50:24,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,59,-61.72,0,,0,,48,-62.2,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T10:52:05,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,79,60,-60.5,0,,0,,14,-66.68,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,the reads are consistent
2026-05-20T11:36:51,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,79,72,-65.2,0,,0,,2,-64.05,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,(AA) very inconsistent scans
